"","country","date","hhi_cumulative","hhi_new"
"1","France",2020-01-01,0,0
"2","France",2020-01-02,0,0
"3","France",2020-01-03,0,0
"4","France",2020-01-04,0,0
"5","France",2020-01-05,0,0
"6","France",2020-01-06,0,0
"7","France",2020-01-07,0,0
"8","France",2020-01-08,0,0
"9","France",2020-01-09,0,0
"10","France",2020-01-10,0,0
"11","France",2020-01-11,0,0
"12","France",2020-01-12,0,0
"13","France",2020-01-13,0,0
"14","France",2020-01-14,0,0
"15","France",2020-01-15,0,0
"16","France",2020-01-16,0,0
"17","France",2020-01-17,0,0
"18","France",2020-01-18,0,0
"19","France",2020-01-19,0,0
"20","France",2020-01-20,0,0
"21","France",2020-01-21,0,0
"22","France",2020-01-22,0,0
"23","France",2020-01-23,0,0
"24","France",2020-01-24,1,1
"25","France",2020-01-25,1,1
"26","France",2020-01-26,1,0
"27","France",2020-01-27,1,0
"28","France",2020-01-28,1,1
"29","France",2020-01-29,1,1
"30","France",2020-01-30,1,0
"31","France",2020-01-31,1,0
"32","France",2020-02-01,1,1
"33","France",2020-02-02,1,0
"34","France",2020-02-03,1,0
"35","France",2020-02-04,1,0
"36","France",2020-02-05,1,0
"37","France",2020-02-06,1,0
"38","France",2020-02-07,1,0
"39","France",2020-02-08,1,1
"40","France",2020-02-09,1,0
"41","France",2020-02-10,1,0
"42","France",2020-02-11,1,0
"43","France",2020-02-12,1,0
"44","France",2020-02-13,1,0
"45","France",2020-02-14,1,0
"46","France",2020-02-15,1,1
"47","France",2020-02-16,1,0
"48","France",2020-02-17,1,0
"49","France",2020-02-18,1,0
"50","France",2020-02-19,1,0
"51","France",2020-02-20,1,0
"52","France",2020-02-21,1,0
"53","France",2020-02-22,1,0
"54","France",2020-02-23,1,0
"55","France",2020-02-24,1,0
"56","France",2020-02-25,1,1
"57","France",2020-02-26,1,1
"58","France",2020-02-27,1,1
"59","France",2020-02-28,1,1
"60","France",2020-02-29,1,1
"61","France",2020-03-01,1,1
"62","France",2020-03-02,1.13623530056742,2.33566245632894
"63","France",2020-03-03,1.17644655901576,3.01775147928994
"64","France",2020-03-04,1.15029855340105,1.16902911141594
"65","France",2020-03-05,1.17069704282729,1.34274574669187
"66","France",2020-03-06,1.11769685911883,1.08036651963873
"67","France",2020-03-07,1.15061608858973,1.26168736303871
"68","France",2020-03-08,1.17146787225249,1.42685690574228
"69","France",2020-03-09,1.2232545952229,2.95224270576281
"70","France",2020-03-10,1.14505966086187,1.04045066162571
"71","France",2020-03-11,1.14975953115928,1.18485966098401
"72","France",2020-03-12,1.22513910828853,0
"73","France",2020-03-13,1.14076841906328,1.04608695652174
"74","France",2020-03-14,1.14158875034855,1.157728102637
"75","France",2020-03-15,1.214452832644,190.072222222222
"76","France",2020-03-16,1.15558691246062,1.08031193098923
"77","France",2020-03-17,1.16627255149445,1.25954268313236
"78","France",2020-03-18,1.17313302366326,1.22096552707893
"79","France",2020-03-19,1.18123759774831,1.230136665725
"80","France",2020-03-20,1.17267663592756,1.13044653046223
"81","France",2020-03-21,1.1801919430294,1.31851159955538
"82","France",2020-03-22,1.18324912551167,1.23314594438192
"83","France",2020-03-23,1.17041656159238,1.1276497524413
"84","France",2020-03-24,1.1678076121319,1.15945589837242
"85","France",2020-03-25,1.16595655444061,1.15727060868458
"86","France",2020-03-26,1.12859657815646,1.00365301606726
"87","France",2020-03-27,1.10408612096216,1.00439322352216
"88","France",2020-03-28,1.09629254952061,1.07317762616914
"89","France",2020-03-29,1.09861943045388,1.14605848492058
"90","France",2020-03-30,1.0958325194834,1.07515931589625
"91","France",2020-03-31,1.08960511229842,1.0594507889481
"92","France",2020-04-01,1.09411805160001,1.15467223962974
"93","France",2020-04-02,1.10337105829412,1.52966684653071
"94","France",2020-04-03,1.10155394753048,1.08335392604132
"95","France",2020-04-04,1.09965178505218,1.07514446549401
"96","France",2020-04-05,1.10150781250533,1.18322102750497
"97","France",2020-04-06,1.10023099811071,1.08040483426801
"98","France",2020-04-07,1.10170112981971,1.13529669601883
"99","France",2020-04-08,1.10255810251682,1.12532550940068
"100","France",2020-04-09,1.10216011078721,1.09539490803273
"101","France",2020-04-10,1.10164330057252,1.09243289278015
"102","France",2020-04-11,1.1004656097487,1.07394475567485
"103","France",2020-04-12,1.06360983919903,1.00067798386222
"104","France",2020-04-13,1.06193658269875,1.01974818021586
"105","France",2020-04-14,1.06014871142228,1.02421749859231
"106","France",2020-04-15,1.06068194763108,1.08483352825425
"107","France",2020-04-16,1.05327354983988,1.00441031532503
"108","France",2020-04-17,1.05455859350094,1.19413365348795
"109","France",2020-04-18,1.05648663990302,1251.15570934256
"110","France",2020-04-19,1.05391523180917,1.0047768993613
"111","France",2020-04-20,1.0539588280023,1.06082109314314
"112","France",2020-04-21,1.05414957155765,1.06819752187926
"113","France",2020-04-22,1.05768374069213,1.086986862665
"114","France",2020-04-23,1.05759383155608,1.05241576933152
"115","France",2020-04-24,1.05803677521316,1.11195092781914
"116","France",2020-04-25,1.05798740728224,1.05385663901141
"117","France",2020-04-26,1.05817131829152,1.12556448340232
"118","France",2020-04-27,1.05652341793138,1.0085090844791
"119","France",2020-04-28,1.0553549885672,1.01065295435836
"120","France",2020-04-29,1.05889218514158,1.06382912973143
"121","France",2020-04-30,1.05953574502072,1.33068956403348
"122","France",2020-05-01,1.06017394882385,0
"123","France",2020-05-02,1.05977603687047,1.01883666089381
"124","France",2020-05-03,1.05989867952307,1.15764243973703
"125","France",2020-05-04,1.06015615939413,1.15687434349436
"126","France",2020-05-05,1.06043912710575,1.11983813173561
"127","France",2020-05-06,1.05883874553329,1.0081970804677
"128","France",2020-05-07,1.05904058227393,1.14996143667297
"129","France",2020-05-08,1.05854814949008,1.01224649234303
"130","France",2020-05-09,1.05853167359689,1.05447314049587
"131","France",2020-05-10,1.05860890769294,1.12691919680491
"132","France",2020-05-11,1.05878049412261,1.15084384055134
"133","France",2020-05-12,1.05901263541776,1.1321794620215
"134","France",2020-05-13,1.05967708580212,1.70677030307777
"135","France",2020-05-14,1.0596583830689,1.06004742112542
"136","France",2020-05-15,1.05964765762742,1.06289337194564
"137","France",2020-05-16,1.06001837096891,2.02303890306122
"138","France",2020-05-17,1.06011317893322,3.02112029384757
"139","France",2020-05-18,1.060231563461,1.15759260010548
"140","France",2020-05-19,1.06013293522076,1.04345338772261
"141","France",2020-05-20,1.06015805871294,1.06892506589499
"142","France",2020-05-21,1.06025556854924,1.18157702647368
"143","France",2020-05-22,1.06027284536272,1.07372890942474
"144","France",2020-05-23,1.06022681146366,1.05131631961164
"145","France",2020-05-24,1.06039327985205,1.13614512471655
"146","France",2020-05-25,1.06050560480754,1.14834109645726
"147","France",2020-05-26,1.06096213333823,1.14001618684241
"148","France",2020-05-27,1.06103516629018,1.20503874396527
"149","France",2020-05-28,1.05913481290032,1.00092521499312
"150","France",2020-05-29,1.05896842904751,1.01927259005092
"151","France",2020-05-30,1.05805526227044,1.00238641975309
"152","France",2020-05-31,1.05793711617567,1.01443186962426
"153","France",2020-06-01,1.05795905970148,1.12459562787962
"154","France",2020-06-02,1.05870829974059,1.01057397959184
"155","France",2020-06-03,1.05873159677452,1.08156417311124
"156","France",2020-06-04,1.05848505040703,1.01108152556974
"157","France",2020-06-05,1.05829749444271,1.01616979101029
"158","France",2020-06-06,1.05808113144899,1.00820823253204
"159","France",2020-06-07,1.05792906747719,1.00192197928922
"160","France",2020-06-08,1.05796895917736,1.195127030404
"161","France",2020-06-09,1.05791154350879,1.03593673423925
"162","France",2020-06-10,1.05774981833585,1.00795005361369
"163","France",2020-06-11,1.05763754273635,1.018882057364
"164","France",2020-06-12,1.05738008121745,1.00558950757004
"165","France",2020-06-13,1.05717980122592,1.00322436532448
"166","France",2020-06-14,1.05702775655921,1.00376707880162
"167","France",2020-06-15,1.05702715876368,1.14251730103806
"168","France",2020-06-16,1.0569863316726,1.03656193599721
"169","France",2020-06-17,1.05685086950674,1.01257224387672
"170","France",2020-06-18,1.05683696044875,1.06022128165144
"171","France",2020-06-19,1.05658822499248,1.00528476252544
"172","France",2020-06-20,1.05638259480256,1.00483439946132
"173","France",2020-06-21,1.05640963045187,29.72
"174","France",2020-06-22,1.0563587581766,1.03823905325444
"175","France",2020-06-23,1.05623369059308,1.01330144458759
"176","France",2020-06-24,1.05641122597024,1.0385484286082
"177","France",2020-06-25,1.05664891000761,1.02875816993464
"178","France",2020-06-26,1.05591984144959,1.00051935799061
"179","France",2020-06-27,1.05605247909769,1.0028430226379
"180","France",2020-06-28,1.05648120503337,1.00002104340873
"181","France",2020-06-29,1.05555286635542,1.0001845946712
"182","France",2020-06-30,1.05554153934586,1.15745523415978
"183","France",2020-07-01,1.05524882443634,1.00434661882182
"184","France",2020-07-02,1.05503273381197,1.00595363140228
"185","France",2020-07-03,1.05486738741319,1.01653461762754
"186","France",2020-07-04,1.05508208292993,1.00249680097375
"187","France",2020-07-05,1.05509401976307,2.33057851239669
"188","France",2020-07-06,1.05449937000492,1.00117577575714
"189","France",2020-07-07,1.05441271920393,1.02241982783086
"190","France",2020-07-08,1.0546126416792,1.01373341564841
"191","France",2020-07-09,1.05402596500713,1.00069050243948
"192","France",2020-07-10,1.05383483943114,1.01061406628393
"193","France",2020-07-11,1.05400989552971,1.01174584530404
"194","France",2020-07-12,1.05402279310937,2.50390625
"195","France",2020-07-13,1.05331043759462,1.00032078166914
"196","France",2020-07-14,1.05336575263371,1.2187825182102
"197","France",2020-07-15,1.05301952076576,1.00353878770329
"198","France",2020-07-16,1.0529119141964,1.01964540021517
"199","France",2020-07-17,1.05263508922793,1.00521404230516
"200","France",2020-07-18,1.05276095450444,1.02679814821785
"201","France",2020-07-19,1.05277300630313,44.625
"202","France",2020-07-20,1.05184867336453,1.00049148086826
"203","France",2020-07-21,1.0516768703338,1.00837877699936
"204","France",2020-07-22,1.05130326929664,1.00340192043896
"205","Germany",2020-01-01,0,0
"206","Germany",2020-01-02,0,0
"207","Germany",2020-01-03,0,0
"208","Germany",2020-01-04,0,0
"209","Germany",2020-01-05,0,0
"210","Germany",2020-01-06,0,0
"211","Germany",2020-01-07,0,0
"212","Germany",2020-01-08,0,0
"213","Germany",2020-01-09,0,0
"214","Germany",2020-01-10,0,0
"215","Germany",2020-01-11,0,0
"216","Germany",2020-01-12,0,0
"217","Germany",2020-01-13,0,0
"218","Germany",2020-01-14,0,0
"219","Germany",2020-01-15,0,0
"220","Germany",2020-01-16,0,0
"221","Germany",2020-01-17,0,0
"222","Germany",2020-01-18,0,0
"223","Germany",2020-01-19,0,0
"224","Germany",2020-01-20,0,0
"225","Germany",2020-01-21,0,0
"226","Germany",2020-01-22,0,0
"227","Germany",2020-01-23,0,0
"228","Germany",2020-01-24,0,0
"229","Germany",2020-01-25,0,0
"230","Germany",2020-01-26,0,0
"231","Germany",2020-01-27,1,1
"232","Germany",2020-01-28,1,1
"233","Germany",2020-01-29,1,0
"234","Germany",2020-01-30,1,0
"235","Germany",2020-01-31,1,1
"236","Germany",2020-02-01,1,1
"237","Germany",2020-02-02,1,1
"238","Germany",2020-02-03,1,1
"239","Germany",2020-02-04,1,0
"240","Germany",2020-02-05,1,0
"241","Germany",2020-02-06,1,0
"242","Germany",2020-02-07,1,1
"243","Germany",2020-02-08,1,0
"244","Germany",2020-02-09,1,1
"245","Germany",2020-02-10,1,0
"246","Germany",2020-02-11,1,1
"247","Germany",2020-02-12,1,0
"248","Germany",2020-02-13,1,0
"249","Germany",2020-02-14,1,0
"250","Germany",2020-02-15,1,0
"251","Germany",2020-02-16,1,0
"252","Germany",2020-02-17,1,0
"253","Germany",2020-02-18,1,0
"254","Germany",2020-02-19,1,0
"255","Germany",2020-02-20,1,0
"256","Germany",2020-02-21,1,0
"257","Germany",2020-02-22,1,0
"258","Germany",2020-02-23,1,0
"259","Germany",2020-02-24,1,0
"260","Germany",2020-02-25,1,1
"261","Germany",2020-02-26,1,1
"262","Germany",2020-02-27,1,1
"263","Germany",2020-02-28,1,1
"264","Germany",2020-02-29,1,1
"265","Germany",2020-03-01,1,1
"266","Germany",2020-03-02,1.58371899845734,18.5469678953627
"267","Germany",2020-03-03,1.64650145772595,2.14024835646457
"268","Germany",2020-03-04,1.94901229532079,3.22543617998163
"269","Germany",2020-03-05,1.5615261445223,1.23285123966942
"270","Germany",2020-03-06,1.44656493651147,1.25580013580806
"271","Germany",2020-03-07,1.43131354744119,1.35791118322216
"272","Germany",2020-03-08,1.29163831360947,1.02849468845233
"273","Germany",2020-03-09,1.35209215488917,2.15587153979239
"274","Germany",2020-03-10,1.41586707297599,1.77017768265346
"275","Germany",2020-03-11,1.41301768126261,1.41986519240318
"276","Germany",2020-03-12,1.5999832333044,6.18837370242214
"277","Germany",2020-03-13,1.36112856680087,1.14213994696537
"278","Germany",2020-03-14,1.35535853126869,1.3473082960995
"279","Germany",2020-03-15,1.28658462376822,1.09786558295198
"280","Germany",2020-03-16,1.29292514819414,1.32225425378255
"281","Germany",2020-03-17,1.31255412039453,1.39072083447011
"282","Germany",2020-03-18,1.28025616727444,1.20606192108139
"283","Germany",2020-03-19,1.28202521150188,1.2950102193011
"284","Germany",2020-03-20,1.23815214950431,1.12048612520134
"285","Germany",2020-03-21,1.24771731333195,1.3836326984879
"286","Germany",2020-03-22,1.23127607815103,1.12321117643733
"287","Germany",2020-03-23,1.21138885858722,1.11264553445354
"288","Germany",2020-03-24,1.21395846895267,1.2497966966442
"289","Germany",2020-03-25,1.22181179766915,1.30309227181123
"290","Germany",2020-03-26,1.20641876876479,1.13562481110694
"291","Germany",2020-03-27,1.19344731666122,1.12388366872396
"292","Germany",2020-03-28,1.17740265368776,1.08361384686006
"293","Germany",2020-03-29,1.16987497312564,1.08727339876033
"294","Germany",2020-03-30,1.16596093320279,1.12090284648341
"295","Germany",2020-03-31,1.17156526230524,1.26527268667935
"296","Germany",2020-04-01,1.17313545085989,1.19785978476723
"297","Germany",2020-04-02,1.17182250403203,1.16003632668841
"298","Germany",2020-04-03,1.17103753770486,1.16402330350151
"299","Germany",2020-04-04,1.16944981675495,1.14885560161136
"300","Germany",2020-04-05,1.16442820176024,1.06765035622893
"301","Germany",2020-04-06,1.1662983432272,1.23635223423671
"302","Germany",2020-04-07,1.16878336291112,1.23830404151097
"303","Germany",2020-04-08,1.16767326021803,1.14882128780752
"304","Germany",2020-04-09,1.16751873940292,1.16462623974756
"305","Germany",2020-04-10,1.16570744752807,1.11741006651968
"306","Germany",2020-04-11,1.1665105629826,1.20826322300298
"307","Germany",2020-04-12,1.16356832091921,1.06427507767099
"308","Germany",2020-04-13,1.1619824964467,1.08554140603847
"309","Germany",2020-04-14,1.16503703151055,1.63893190466617
"310","Germany",2020-04-15,1.16501499250758,1.16549352752214
"311","Germany",2020-04-16,1.16602624571387,1.21705137480867
"312","Germany",2020-04-17,1.16426004357029,1.10621211566427
"313","Germany",2020-04-18,1.16452378313678,1.18611904494419
"314","Germany",2020-04-19,1.16372834792712,1.10917357213339
"315","Germany",2020-04-20,1.16343404520742,1.15795578550552
"316","Germany",2020-04-21,1.16525675043088,1.46574424713055
"317","Germany",2020-04-22,1.16525347254855,1.16806184342616
"318","Germany",2020-04-23,1.1643671174835,1.11594868278237
"319","Germany",2020-04-24,1.16433319180542,1.16361748977666
"320","Germany",2020-04-25,1.16378887384344,1.11612183251345
"321","Germany",2020-04-26,1.16264115435754,1.05173257285059
"322","Germany",2020-04-27,1.16292606033374,1.21799754954187
"323","Germany",2020-04-28,1.16317785025836,1.2145449930766
"324","Germany",2020-04-29,1.16246669918732,1.1030977334312
"325","Germany",2020-04-30,1.16229187513616,1.15300337822204
"326","Germany",2020-05-01,1.16196382519138,1.12055594130932
"327","Germany",2020-05-02,1.16138306232516,1.07414846610276
"328","Germany",2020-05-03,1.16078640462574,1.06193174683878
"329","Germany",2020-05-04,1.16110534785701,1.32442135850578
"330","Germany",2020-05-05,1.16121089956676,1.20043500564276
"331","Germany",2020-05-06,1.16110091808016,1.1633102827908
"332","Germany",2020-05-07,1.1607893947832,1.13249833315089
"333","Germany",2020-05-08,1.16039768375526,1.11302987999678
"334","Germany",2020-05-09,1.16023602900587,1.13739255966446
"335","Germany",2020-05-10,1.1598431249652,1.06826069312556
"336","Germany",2020-05-11,1.15989743068431,1.18563468358964
"337","Germany",2020-05-12,1.16032546308177,1.3362050702634
"338","Germany",2020-05-13,1.16012028735384,1.13208794303462
"339","Germany",2020-05-14,1.16084596600939,1.6983864265928
"340","Germany",2020-05-15,1.16071366109237,1.14983904214727
"341","Germany",2020-05-16,1.16057826763448,1.13505667115878
"342","Germany",2020-05-17,1.15997147231818,1.04868278305914
"343","Germany",2020-05-18,1.16053800126167,2.62323390894819
"344","Germany",2020-05-19,1.15945085613199,1.04905983212545
"345","Germany",2020-05-20,1.15950555553265,1.19491951762331
"346","Germany",2020-05-21,1.15920989088445,1.08864017795301
"347","Germany",2020-05-22,1.15880926135886,1.08529852271123
"348","Germany",2020-05-23,1.15889344159884,1.24260922075194
"349","Germany",2020-05-24,1.15874595008302,1.10999110837523
"350","Germany",2020-05-25,1.15896900264162,1.41657655709343
"351","Germany",2020-05-26,1.15888232554981,1.15446666666667
"352","Germany",2020-05-27,1.15928400182224,1.56902530102119
"353","Germany",2020-05-28,1.15886299919407,1.08088639101474
"354","Germany",2020-05-29,1.15822395914931,1.04771038711685
"355","Germany",2020-05-30,1.15832056927862,1.28938545918725
"356","Germany",2020-05-31,1.15820382546174,1.10134927622285
"357","Germany",2020-06-01,1.15809325705606,1.12553166351607
"358","Germany",2020-06-02,1.15802265389068,1.19196060326254
"359","Germany",2020-06-03,1.15823295968462,1.63875418345741
"360","Germany",2020-06-04,1.15838592299357,1.33378787509842
"361","Germany",2020-06-05,1.15821450240937,1.14348715639439
"362","Germany",2020-06-06,1.15772536669274,1.05339458427908
"363","Germany",2020-06-07,1.15747586501923,1.05218888888889
"364","Germany",2020-06-08,1.15727572030005,1.11279397273454
"365","Germany",2020-06-09,1.15716703823101,1.17701400300744
"366","Germany",2020-06-10,1.15788506682935,164.0390625
"367","Germany",2020-06-11,1.15795194340364,1.42151885438185
"368","Germany",2020-06-12,1.15748419506516,1.06076687920342
"369","Germany",2020-06-13,1.15780866337245,12.1695419393218
"370","Germany",2020-06-14,1.15766780183476,1.11174425802765
"371","Germany",2020-06-15,1.15779235811114,1.50907198096371
"372","Germany",2020-06-16,1.15759387780242,1.17167436134195
"373","Germany",2020-06-17,1.15867629934531,4.15873579545455
"374","Germany",2020-06-18,1.15748681565331,1.05367518277196
"375","Germany",2020-06-19,1.15806967169847,2.06029510511183
"376","Germany",2020-06-20,1.15838283086452,1.74379726970888
"377","Germany",2020-06-21,1.1578626460709,1.07247712497655
"378","Germany",2020-06-22,1.15791045875589,1.36813459287201
"379","Germany",2020-06-23,1.15756397551252,1.13315080166646
"380","Germany",2020-06-24,1.15776792463215,1.4446334076831
"381","Germany",2020-06-25,1.15790675844468,1.36338
"382","Germany",2020-06-26,1.15784085809683,1.19025609135621
"383","Germany",2020-06-27,1.15775503351042,1.18295860380495
"384","Germany",2020-06-28,1.15775745265811,1.27011317338162
"385","Germany",2020-06-29,1.15790896209466,1.41806717514635
"386","Germany",2020-06-30,1.15807083033455,1.31463614757809
"387","Germany",2020-07-01,1.1580368998689,1.19428698060942
"388","Germany",2020-07-02,1.15803512957614,1.23002342558531
"389","Germany",2020-07-03,1.15810730138604,1.24338488994646
"390","Germany",2020-07-04,1.15795871131438,1.12246743435361
"391","Germany",2020-07-05,1.15767411974267,1.04670295857988
"392","Germany",2020-07-06,1.15732195360211,1.05892080456196
"393","Germany",2020-07-07,1.15755557191924,1.44237612569212
"394","Germany",2020-07-08,1.15773126363756,1.36425325085217
"395","Germany",2020-07-09,1.15797614192413,1.41865488355774
"396","Germany",2020-07-10,1.15817947754804,1.37849234672922
"397","Germany",2020-07-11,1.15807825772435,1.14307424944944
"398","Germany",2020-07-12,1.15797016704925,1.10736961451247
"399","Germany",2020-07-13,1.15805615671742,1.25718941295636
"400","Germany",2020-07-14,1.15836043210871,1.51568735559756
"401","Germany",2020-07-15,1.15858282239435,1.34911550468262
"402","Germany",2020-07-16,1.15869448129258,1.27067602040816
"403","Germany",2020-07-17,1.15861054825621,1.15788715486194
"404","Germany",2020-07-18,1.15864657280386,1.23198379730093
"405","Germany",2020-07-19,1.15848157780064,1.07613032959437
"406","Germany",2020-07-20,1.15825370891216,1.10461074403907
"407","Germany",2020-07-21,1.1584341242766,1.32598396501458
"408","Germany",2020-07-22,1.15862493566972,1.30399928315642
"409","Italy",2020-01-01,0,0
"410","Italy",2020-01-02,0,0
"411","Italy",2020-01-03,0,0
"412","Italy",2020-01-04,0,0
"413","Italy",2020-01-05,0,0
"414","Italy",2020-01-06,0,0
"415","Italy",2020-01-07,0,0
"416","Italy",2020-01-08,0,0
"417","Italy",2020-01-09,0,0
"418","Italy",2020-01-10,0,0
"419","Italy",2020-01-11,0,0
"420","Italy",2020-01-12,0,0
"421","Italy",2020-01-13,0,0
"422","Italy",2020-01-14,0,0
