date,not_susceptible,partially_susceptible,rather_susceptible,infection_unlikely,infection_partially_likely,infection_likely,infection_harmless,infection_partially_harmful,infection_harmful,thinking_rarely_virus,thinking_partially_virus,thinking_often_virus,virus_not_fear_inducing,virus_partially_fear_inducing,virus_fear_inducing,virus_not_concerning,virus_partially_concerning,virus_rather_concerning,low_perceived_risk,partial_perceived_risk,high_perceived_risk
2020-03-03,0.40,0.34,0.26,0.52,0.32,0.17,0.44,0.31,0.26,0.50,0.24,0.25,0.39,0.25,0.36,0.30,0.22,0.48,0.31,0.44,0.25
2020-03-10,0.43,0.32,0.25,0.44,0.34,0.21,0.41,0.34,0.25,0.41,0.27,0.32,0.35,0.24,0.41,0.25,0.23,0.52,0.24,0.43,0.32
2020-03-17,0.35,0.32,0.32,0.34,0.33,0.33,0.38,0.28,0.34,0.21,0.25,0.54,0.23,0.21,0.56,0.15,0.14,0.71,0.12,0.36,0.52
2020-03-24,0.34,0.31,0.35,0.38,0.29,0.34,0.35,0.29,0.36,0.21,0.25,0.54,0.20,0.20,0.60,0.12,0.14,0.74,0.09,0.38,0.54
2020-03-31,0.34,0.33,0.33,0.34,0.36,0.30,0.32,0.29,0.39,0.23,0.23,0.54,0.21,0.19,0.60,0.13,0.14,0.74,0.11,0.34,0.56
2020-04-07,0.39,0.33,0.29,0.39,0.33,0.29,0.36,0.27,0.36,0.27,0.27,0.46,0.28,0.21,0.52,0.19,0.15,0.66,0.15,0.38,0.46
2020-04-14,0.37,0.30,0.33,0.38,0.31,0.30,0.34,0.27,0.39,0.27,0.30,0.43,0.29,0.23,0.49,0.19,0.16,0.64,0.17,0.40,0.44
2020-04-21,0.41,0.29,0.30,0.42,0.30,0.27,0.37,0.27,0.36,0.32,0.28,0.41,0.31,0.23,0.46,0.22,0.17,0.61,0.18,0.43,0.39
2020-04-28,0.37,0.31,0.32,0.42,0.32,0.26,0.34,0.27,0.39,0.30,0.27,0.43,0.29,0.22,0.49,0.22,0.18,0.61,0.18,0.42,0.40
2020-05-05,0.42,0.31,0.27,0.45,0.34,0.21,0.37,0.29,0.34,0.35,0.26,0.39,0.33,0.24,0.43,0.23,0.21,0.56,0.21,0.45,0.35
2020-05-12,0.41,0.30,0.29,0.45,0.34,0.21,0.36,0.29,0.35,0.37,0.26,0.37,0.36,0.23,0.41,0.25,0.19,0.56,0.21,0.47,0.32
2020-05-19,0.47,0.26,0.27,0.52,0.28,0.20,0.42,0.25,0.33,0.39,0.27,0.35,0.37,0.21,0.41,0.28,0.18,0.54,0.24,0.42,0.34
2020-05-26,0.42,0.31,0.28,0.48,0.30,0.22,0.37,0.28,0.35,0.42,0.27,0.31,0.35,0.21,0.44,0.26,0.20,0.54,0.25,0.43,0.33
2020-06-09,0.39,0.33,0.28,0.46,0.34,0.20,0.35,0.27,0.37,0.39,0.29,0.32,0.32,0.22,0.46,0.23,0.18,0.58,0.21,0.46,0.34
2020-06-23,0.43,0.31,0.27,0.52,0.30,0.18,0.35,0.31,0.34,0.45,0.27,0.28,0.35,0.25,0.40,0.26,0.22,0.52,0.26,0.44,0.30
2020-07-07,0.42,0.30,0.29,0.50,0.31,0.19,0.34,0.29,0.37,0.45,0.24,0.31,0.37,0.22,0.41,0.26,0.19,0.55,0.26,0.42,0.32